NUMBER,NAME,LOCATION,ADDRESS,COURT
144,Kompleks Sukan dan Komuniti Pekan,Pahang,"Taman Tasik Sultan Abu Bakar, 26600 Pekan Pahang","Badminton, Futsal"
145,Kompleks Sukan dan Komuniti Mempaga,Pahang,"Mempaga 1, 28600 Karak, Pahang","Badminton, Futsal"
146,Kompleks MSN Kuala Rompin,Pahang,"Jalan Dato Ibrahim, Kampung Tasik, 26800 Kuala Rompin, Pahang",Badminton
147,One Touch Futsal,Pahang,"28000, Jalan Ibrahim, Taman Kenangan, 28000 Temerloh, Pahang",Futsal
148,KRM Raub,Pahang,"Kompleks Rakan Muda Daerah Raub, 27400 Dong, Raub, Pahang Darul Makmur","Badminton, Futsal"
149,KRM Maran,Pahang,"Jalan Maran-Temerloh, 26500 Maran, Pahang Darul Makmur","Badminton, Volleyball"
150,PlayGround No. 6 Sport Centre,Pahang,"Lot 89, Jalan Industri Semambu 7, Kawasan Perindustrian Semambu, 25350 Kuantan, Pahang","Badminton, Futsal"
151,Kompleks Sukpa,Pahang,"Jalan Kompleks SUKPA, Bandar Indera Mahkota, 25200 Kuantan, Pahang",Futsal
152,Kompleks Rakan Muda Sukan Air Rompin,Pahang,"Kampung Pantai Bernas, 26800 Kuala Rompin, Pahang Darul Makmur","Badminton, Futsal"
153,Jengka Sports Centre,Pahang,"Bandar Jengka, 26400 Bandar Tun Razak, Pahang","Badminton, Futsal"
154,Semambu Badminton Centre,Pahang,"Lot 903, Jalan Haji Ahmad, Taman Tunas Jaya, 25300 Kuantan, Pahang",Badminton
155,Kuantan Synergy Sports Centre,Pahang,"Lot 11235, Sungai Isap Pusat Komersial Batu Tiga Jalan, Jalan Gambang, 25150 Kuantan, Pahang",Badminton
156,Kilang Futsal Sungai Isap,Pahang,"Lorong Sungai Isap Aman 2, Perumahan Sungai Isap Satu, 25150 Kuantan, Pahang","Badminton, Futsal"
157,AD Sport Futsal Centre,Pahang,"28000 Temerloh, Pahang",Futsal
158,Mempaga Community Sports Complex,Pahang,"Mempaga 1, 28600 Karak, Pahang","Badminton, Futsal"
159,NS7 Sport Centre,Pahang,"Setapak, 53200 Kuala Lumpur, Federal Territory of Kuala Lumpur",Futsal
160,MK Badminton Centre,Pahang,"Jln. Indera Mahkota 2, Bandar Indera Mahkota, 25200 Kuantan, Pahang",Badminton
161,Chendering Futsal,Pahang,"Kampung Batu Tujuh, 25150 Kuantan, Pahang",Futsal
162,Jerantut Badminton Centre,Pahang,"27000 Jerantut, Pahang",Badminton
163,Teo Badminton Court,Pahang,"Lorong Air Putih 103, Taman Semabok, 25300 Kuantan, Pahang",Badminton
164,Smash 8 Megasmash Badminton Court,Pahang,"Berjaya Megamall, Lot 3.15, Third Floor, Jalan Tun Ismail, Sri Dagangan, 25000 Kuantan, Pahang",Badminton
165,LCS Sport Arena,Pahang,"PT20624, Batu 2, Jalan Karak, Kampung Batu Kapur, 28400 Mentakab, Pahang","Badminton, Futsal"
166,Dewan Badminton Rahazqim,Pahang,"13/634, Kampung Sungai Karang Pantai, 26100 Kuantan, Pahang",Badminton
167,Dewan Badminton Planet Sungai Isap,Pahang,"Perumahan Sungai Isap Satu, 25150 Kuantan, Pahang",Badminton
168,Kempadang Futsal Center,Pahang,"Lot 8582, Kampung Kempadang, 26060 Kuantan, Pahang",Futsal
169,Legend Futsal Indera Mahkota,Pahang,"Jalan IM 3/1, Bandar Indera Mahkota, 25200 Kuantan, Pahang",Futsal
170,De Stadium Futsal KB,Kelantan,"Taman Sri Rokma, 16210 Wakaf Bharu, Kelantan",Futsal
171,Futsal Harraz Tok Bali,Kelantan,"Lot 2931, Kg Air Tawar, Tok Bali, Cherang Suku, 16700, Pasir Puteh, Kelantan",Futsal
172,JPS Futsal,Kelantan,"Jalan Jelor, Pasir Puteh, 16800 Kota Bharu, Kelantan",Futsal
173,Afda Futsal Lubok Jong,Kelantan,"Cabang Tiga Lubok Jong - Pusu Empat Puluh, 17200 Pasir Mas, Kelantan",Futsal
174,Kuyo Futsal,Kelantan,"17500 Tanah Merah, Kelantan",Futsal
175,Prosport Futsal,Kelantan,"17600 Jeli, Kelantan",Futsal
176,Bilal Sport,Kelantan,"18000 Kuala Krai, Kelantan",Futsal
177,Al-Khulafa Sport Center,Kelantan,"Lot 496, Simpang 4 Binjai, 16150, 16400 Melor, Kelantan",Badminton
178,JKR Badminton Court,Kelantan,"Bandar Kota Bharu, 15150 Kota Bharu, Kelantan",Badminton
179,All Sports Badminton Court,Kelantan,"Lorong Ihsan, Jln Bahagia, Bandar Machang, 18500 Machang, Kelantan","Badminton, Futsal"
180,Pro Seven Futsal Jalan Bayam,Kelantan,"Kampung Khatib Ali, 15200 Kota Bharu, Kelantan",Futsal
181,Kota Bharu Badminton Center KBBC 1,Kelantan,"PT 1380, Jalan Guchil Bayam, 15200 Kota Bharu, Kelantan",Badminton
182,Proseven Futsal Center,Kelantan,"Jalan Perempuan Zainab 1, Kampung Darat Demit, 15200 Kota Bharu, Kelantan",Futsal
183,Badminton Association Of Kelantan Hall,Kelantan,"Jalan Kuala Krai, Bandar Kota Bharu, 15050 Kota Bharu, Kelantan",Badminton
184,Dewan Badminton Tunjong,Kelantan,"Kampung Tunjung, 16010 Kota Bharu, Kelantan",Badminton
185,Orbit De Futsal,Kelantan,"1856, D110 16010, Bandar Kota Bharu, Kelantan",Futsal
186,Dewan Badminton HRBC,Kelantan,"15100 Pasir Mas, Kelantan",Badminton
187,i5 Badminton Court,Kelantan,"Bukit Bator, Jelawat, 16070 Bachok, Kelantan",Badminton
188,Dewan Dato' Ibrahim Futsal dan Badminton Court,Kelantan,"Lorong Salamku, Jln Kota Teras, Kampung Kedai Lalat, 16150 Kota Bharu, Kelantan","Badminton, Futsal"
189,BK Badminton Court,Kelantan,"Kampung Setor Lima, 18500 Machang, Kelantan",Badminton
190,Dewan Badminton AB Green Hall,Kelantan,"1510, 3, Kubang Kerian, 16150 Kota Bharu, Kelantan",Badminton
191,Dewan badminton MY morak,Kelantan,"16210, 16210 Wakaf Bharu, Kelantan",Badminton
192,Dewan Dato Lundang B,Kelantan,"Jalan Dato Lundang, 15150 Kota Bharu, Kelantan",Badminton
193,Haslina Badminton Hall,Kelantan,"16450 Melor, Kelantan",Badminton
194,Kompleks Sukan dan Komuniti Besut,Terengganu,"Jalan Mini Stadium, Kampung Raja, Besut, Terengganu, 22200 Besut",Badminton
195,Kompleks Sukan dan Komuniti Besut Jertih,Terengganu,"Kampung Gong Kemuntong, 22000 Jerteh, Terengganu",Badminton
196,Kompleks MSN Dungun,Terengganu,"Jalan Balai Besar, 23000 Kuala Dungun, Terengganu","Badminton, Futsal"
197,Iltizam Sport Center,Terengganu,"Lot 1651, Jalan Kubang Kurus, Kampung Kubang Kurus, 24000 Chukai, Terengganu",Badminton
198,XZone Futsal Center,Terengganu,"Lot 6107, Kampung Paya Apek, 23000 Kuala Dungun, Terengganu",Futsal
199,Fantasy Futsal Sport,Terengganu,"Blok 4, Lot 13841, Kawasan Perindustrian Gong Badak, 21300 Kuala Terengganu, Terengganu",Futsal
200,Miya Futsal Sport Centre,Terengganu,"Che Nordin, Lot 1752 B Kg Kesom, Manir, 21200 Kuala Terengganu, Terengganu",Futsal
201,Sports PC,Terengganu,"12216 kawasan miel, chukai, 24000 Kemaman, Terengganu","Badminton, Futsal"
202,DS Sport Centre,Terengganu,"Kawasan Perindustrian Chendering, 21080 Kuala Terengganu, Terengganu","Badminton, Futsal"
203,Hazlan Futsal & Indoor Soccer,Terengganu,"Jalan Haji Abdul Rahman Limbong, 20400 Kuala Terengganu, Terengganu",Futsal
204,Xtreme Futsal Pulau Kambing,Terengganu,"Bandar Baru, 21100 Kuala Terengganu, Terengganu",Futsal
205,Millipede Futsal Enterprise,Terengganu,"Lot 468, Kg Padang Jerat, Jln Pulau Musang, 20050 Kuala Terengganu, Terengganu",Futsal
206,QD de Futsal,Terengganu,"Kampung Bukit Tunggal, 21200 Kuala Terengganu, Terengganu",Futsal
207,Court Badminton Gong Pok Jin,Terengganu,"Jln Tengku Ampuan Intan Zaharah, Kampung Gong Datuk, 21300 Kuala Terengganu, Terengganu",Badminton
